"term","definition"
"Ambient Temperature Deviation Detection","Detection of deviations from ambient temperature, usually using a device that measures or records temperature changes."
"Anomalous Activity","Activity, evidence, or conditions that differ from what is expected and have not yet been explained."
"Apophenia","The perception of meaningful patterns, connections, or significance in unrelated or random information."
"Apparition","A visual phenomenon interpreted as a person, figure, animal, object, or presence that is not ordinarily visible or physically accounted for at the time of observation."
"Apport","The reported appearance of an object without an apparent physical cause."
"Asport","The reported disappearance of an object without an apparent physical cause."
"Attachment","The idea that paranormal activity can be connected or attached to a person, place, object, or presence."
"Audio Phenomena","A category of phenomena involving any auditory event that is perceived or documented."
"Auditory Illusion","The perception or interpretation of unclear or ambiguous audio as meaningful sound or language."
"Aura","A perceived field of energy surrounding a person, place, or object, sometimes represented as a glow."
"Baseline Reading","An initial measurement or observation recorded before an investigation or controlled test, used as a comparison point to help identify anomalies or changes in conditions."
"Battery Drain","An unexpected loss of battery charge that may be interpreted as anomalous activity or as evidence of it."
"Benevolent","Describes reported activity or presence perceived as helpful, protective, harmless, or positive in intent."
"Bibliomancy","A practice in which a book or written text is opened and a page, word, or passage is selected at random and interpreted for significance."
"Call and Response","A technique in which an investigator prompts for a reply, often by asking a question or making a noise, and then monitors for a response."
"Cat Balls","Motion-activated light-up balls, often sold as pet toys, used during investigations as visible indicators of movement or vibration."
"Chain of Custody","Documentation of how evidence was collected, handled, stored, and reviewed."
"Collective Experience","An event or perception reported by more than one person, either at the same time or in close sequence, and interpreted as involving the same anomalous activity, presence, or phenomenon."
"Compromised Evidence","Evidence affected by environmental contamination, handling, instrument error, or other conditions that make it unreliable or unsuitable for analysis."
"Control","A known or intentionally arranged condition used to help distinguish reported anomalous activity from ordinary environmental, technical, psychological, or procedural explanations."
"Corroboration","Evidence from another witness or source that supports or aligns with a report or other evidence."
"Data Logger","A device used to record multiple measurements or environmental conditions over time for later review."
"Debunking","The process of disproving a claim that specific activity, evidence, or an experience is or was paranormal in origin."
"Demon","A presence believed or interpreted as nonhuman or spiritual, commonly associated with harmful, hostile, deceptive, or malevolent intent."
"Disembodied Voice","A voice-like or speech-like sound heard at the time it occurs without an apparent source."
"Dowsing","A practice in which the movement of a handheld tool, such as rods or a pendulum, is interpreted as indicating hidden objects, substances, or paranormal activity."
"Dowsing Rods","Handheld rods believed to sometimes indicate paranormal activity by moving, crossing, or pointing."
"Ectoplasm","Historically, a substance claimed in mediumship to appear during spirit communication; in modern investigations, also used for web-like or fibrous material found at a location and interpreted as possible paranormal evidence."
"Electromagnetic Field","A field of combined electric and magnetic forces produced by electric charges and their movement. Changes in electromagnetic field readings are sometimes interpreted as possible evidence of paranormal activity."
"Electronic Audio Phenomenon","Recorded audio interpreted as an anomalous sound, signal, voice, or noise that was not observed at the time of recording."
"Electronic Voice Phenomenon","Recorded audio interpreted as voices or speech that were otherwise not observed at the time of recording."
"EMF Meter","A device used to measure electromagnetic fields or changes in electromagnetic field strength."
"EMF Spike","A sudden or notable increase in an EMF reading during an investigation that may be interpreted as possible evidence of paranormal activity."
"Energy","A nonspecific term for a force or essence believed to underlie, accompany, or explain anomalous activity."
"Environmental Contamination","An environmental condition or factor that may affect, distort, or inhibit analysis of reported or recorded activity."
"Estes Method","A technique in which a listener wearing headphones is isolated from outside visual and auditory cues and speaks words or sounds they hear from an audio-generating device such as a spirit box."
"Exorcism","A ritual or practice intended to remove, expel, or separate a spirit, entity, or other nonphysical presence from a person, place, or object."
"False Awakening","A scenario in which a person believes they have awakened, often in a familiar setting, before later realizing they were still asleep; unusual events during the experience may be interpreted as paranormal activity."
"False Positive","Evidence that appears to indicate anomalous activity but is later explained by ordinary causes."
"Footsteps","Footstep-like sounds heard or recorded without an apparent source."
"Ghost","A common term for unexplained activity interpreted as involving a person, animal, object, place, or presence that is not ordinarily observable."
"Gravity Hill","A location where the surrounding landscape creates the visual impression that a slight downhill slope is uphill, making vehicles or objects appear to roll against gravity; these sites are sometimes associated with ghost stories or mistaken for paranormal activity."
"Haunting","A pattern of unexplained activity associated with a person, place, or object."
"Hypnagogia","A transitional state between wakefulness and sleep in which vivid sensory experiences, imagery, sounds, or feelings may occur and sometimes be interpreted as paranormal activity."
"Imitative Sounds","Sounds heard or recorded that resemble familiar object-based sounds, such as doors closing or furniture moving, when the associated objects are not present or cannot be identified."
"Imprint","The idea that energy, emotion, activity, or significant events can linger in a place, environment, object, or person and later be experienced as anomalous or paranormal activity."
"Infrared Camera","A camera that records infrared light, used to document visual information outside normal visible-light conditions."
"Infrasound","Sound below the usual lower limit of human hearing that can cause physical symptoms, including discomfort, unease, or vibration."
"Instrumental Trans-Communication","The use of devices, usually electronic, to attempt communication in the context of paranormal activity."
"Intelligent Activity","Unexplained activity interpreted as showing awareness, intention, or purposeful behavior."
"Kinetic Phenomena","A category of phenomena involving apparent movement, force, vibration, or disturbance of physical objects."
"Knocking","Knocks, taps, bangs, or similar impact-like sounds that are heard or recorded without an apparent source."
"Laser Grid","A projected pattern of laser points or lines, or the device that produces it, used as a visible reference for detecting movement or visual disturbances."
"Legend Tripping","A practice in which people visit a site associated with a legend, ghost story, or reported paranormal activity, often at night and as a dare, ritual, or rite of passage."
"Lost Time","An experience in which a person perceives that an unexplained gap, delay, or discontinuity occurred in their awareness or memory."
"Malevolent","Describes reported activity or presence perceived as harmful, threatening, hostile, or negative in intent."
"Manifestation","A perceived expression of anomalous or paranormal activity, including sensory, environmental, visual, audio, or physical phenomena."
"Mass Psychogenic Illness","A condition in which physical symptoms, sensations, or perceptions spread among members of a group through social or psychological influence rather than an identified physical cause, sometimes offered as an explanation for collective experiences."
"Materialization","A manifestation in which a person, figure, object, substance, or physical form is perceived as appearing or becoming visible."
"Mimicking","A phenomenon in which a voice, sound, or noise is perceived as resembling a specific person, animal, object, or source that is not present or cannot be identified."
"Mists","Visible haze, vapor, smoke, fog-like forms, or clouded areas witnessed in person or seen in images."
"Nonhuman Presence","A presence believed or interpreted as spiritual, nonphysical, or entity-like without being identified as formerly human."
"Orbs","Circular or spherical forms, usually light-emitting and sometimes dark, seen in photographs, video, or direct observation."
"Ouija","A board or similar surface marked with letters, numbers, and other indicators, used with a planchette or pointer in attempts to receive messages or responses."
"Paranormal","A broad term for something that appears to fall outside ordinary explanation based on the information currently available."
"Paranormal Entertainment","Media, events, performances, or commercial content centered on paranormal or haunted subjects for entertainment purposes."
"Paranormal Tourism","Travel, visitation, or public interest associated with places known, believed, or promoted as having paranormal or haunted significance."
"Paranormal Tours","Organized visits or guided experiences centered on places presented as paranormal, haunted, or historically associated with unusual activity."
"Parapsychology","The study of claimed psi-related experiences and abilities, such as telepathy, clairvoyance, precognition, psychokinesis, and survival-related claims."
"Pareidolia","The perception of meaningful patterns, faces, figures, words, or voices in ambiguous or random sensory information."
"Personal Experience","A firsthand account of an event directly experienced by an individual, typically without corroborating evidence."
"Phantom Smells","Odors perceived without an apparent source, commonly including smoke, perfume, or other distinctive smells."
"Physical Phenomena","A category of phenomena involving changes in physical objects, substances, or environmental conditions, such as movement, marks, odors, or temperature shifts."
"Physiological Phenomena","A category of phenomena involving physical sensations or symptoms interpreted as paranormal in origin, such as headaches, dizziness, chills, goosebumps, nausea, pressure, or fatigue."
"Poltergeist","A type of anomalous activity commonly associated with physical disturbances such as object movement, knocking or banging sounds, or other physical events."
"Portal","The idea that a place or location can act as a passage or access point for paranormal activity, spirits, entities, or other nonphysical presences."
"Possession","A state in which a person is believed or interpreted as influenced, controlled, or inhabited by a spirit, entity, or other nonphysical presence."
"Provoking","A technique that uses confrontational, challenging, or emotionally charged statements in an attempt to elicit a response."
"Psychography","Writing or written marks produced while a person holds a pen, pencil, marker, or other writing instrument and reports that they are not consciously moving it."
"Recurrent Activity","Unexplained activity that appears to repeat in a similar way over time without apparent awareness, intention, or purposeful behavior."
"REM Pod","A device that emits an electromagnetic field from its antenna and detects changes to that field, often producing lights or sounds when changes are detected."
"Scratches","Marks or welts appearing on the skin without an apparent cause, sometimes interpreted as evidence of paranormal activity."
"Sensory Conflict","A condition in which conflicting sensory cues, such as uneven floors, sloped surfaces, low ceilings, visual distortion, or unusual spatial layout, may cause physical sensations and/or emotional responses."
"Sensory Deprivation","A technique that limits sensory input, commonly sight and/or hearing, in an attempt to reduce outside awareness and increase focus on selected sensations, impressions, or perceptions."
