"term","definition"
"Apparition","A visual phenomenon interpreted as a person, figure, animal, object, or presence that is not ordinarily visible or physically accounted for at the time of observation."
"Audio Phenomena","A category of phenomena involving any auditory event that is perceived or documented."
"Disembodied Voice","A voice or speech-like sound heard at the time it occurs without an apparent source."
"Electromagnetic Field","In supernatural investigation, a measurement used to document variances in electromagnetic radiation. These variances can be interpreted as possible evidence of paranormal activity when considered alongside the full investigation context."
"Electronic Voice Phenomenon","Recorded audio interpreted as voices or speech that were otherwise not observed at the time of recording."
"EMF Spike","A sudden or notable increase in an EMF reading during an investigation that may be interpreted as possible evidence of paranormal activity."
"Ghost","A common term for unexplained activity interpreted as involving a person, animal, object, place, or presence that is not ordinarily observable."
"Infrasound","Sound below the usual lower limit of human hearing that has been known to cause physical symptoms, including discomfort, unease, vibration, or other reported experiences."
"Mists","Visible haze, vapor, smoke, fog-like forms, or clouded areas witnessed in person or seen in images."
"Orbs","Circular or spherical forms, usually light-emitting and sometimes dark, seen in photographs, video, or direct observation."
"Paranormal","A broad term for something that appears to fall outside ordinary explanation based on the information currently available."
"Parapsychology","The study of claimed psi-related experiences and abilities, such as telepathy, clairvoyance, precognition, psychokinesis, and survival-related claims."
"Pareidolia","The perception of meaningful patterns, faces, figures, words, or voices in ambiguous or random sensory information."
"Shadow People","A common term for dark, shadow-like figures reported as human-shaped or presence-like, commonly lacking clear features or seen briefly, peripherally, or under low-light conditions."
"Spirit","A term for a nonphysical presence or consciousness interpreted as continuing apart from a living being."
"Temperature Changes","Reported or measured shifts in ambient temperature, surface temperature, or perceived heat or cold, commonly referred to as cold spots or hot spots."
"Visual Phenomena","A category of phenomena involving any visual event that is witnessed in person or documented in images or video."
"Whispers","Low-volume voice or speech-like sounds heard or recorded without an apparent source."
