"term","definition"
"Ambient Temperature Deviation Detection","Detection of deviations from ambient temperature, usually using a device that measures or records temperature changes."
"Anomalous Activity","Activity, evidence, or conditions that differ from what is expected and have not yet been explained."
"Apophenia","The perception of meaningful patterns, connections, or significance in unrelated or random information."
"Apparition","A visual phenomenon interpreted as a person, figure, animal, object, or presence that is not ordinarily visible or physically accounted for at the time of observation."
"Apport","The reported appearance of an object without an immediately identified physical source."
"Asport","The reported disappearance of an object without an immediately identified physical cause."
"Attachment","The idea that paranormal activity can be connected or attached to a person, place, object, or presence."
"Audio Phenomena","A category of phenomena involving any auditory event that is perceived or documented."
"Auditory Illusion","The perception or interpretation of unclear or ambiguous audio as meaningful sound or language."
"Aura","A perceived field of energy surrounding a person, place, or object, sometimes represented as a glow."
"Baseline Reading","An initial measurement or observation recorded before an investigation or controlled test, used as a comparison point to help identify anomalies or changes in conditions."
"Battery Drain","An unexpected loss of battery charge that may be interpreted as anomalous activity or as evidence of it."
"Benevolent","Describes reported activity or presence perceived as helpful, protective, harmless, or positive in intent."
"Bibliomancy","A practice in which a book or written text is opened and a page, word, or passage is selected at random and interpreted for significance."
"Call and Response","A technique that prompts for a response, frequently by asking a question or making a noise, then monitors for a response."
"Cat Balls","Motion-activated light-up balls, often sold as pet toys, used during investigations as visible indicators of movement or vibration."
"Chain of Custody","Documentation of how evidence was collected, handled, stored, and reviewed."
"Collective Experience","An event or perception reported by more than one person, either at the same time or in close sequence, and interpreted as involving the same anomalous activity, presence, or phenomenon."
"Compromised Evidence","Evidence affected by environmental contamination, handling, instrument error, or other conditions that make it unreliable or unsuitable for analysis."
"Control","A known or intentionally arranged condition used to help distinguish reported anomalous activity from ordinary environmental, technical, psychological, or procedural explanations."
"Corroboration","Evidence from another witness or source that supports or aligns with a report or other evidence."
"Data Logger","A device used to record multiple measurements or environmental conditions over time for later review."
"Debunking","The process of disproving a claim that specific activity, evidence, or an experience is or was paranormal in origin."
"Demon","A reported presence believed or interpreted to be nonhuman or spiritual, commonly associated with harmful, hostile, deceptive, or malevolent intent."
"Disembodied Voice","A voice-like or speech-like sound heard at the time it occurs without an apparent source."
"Dowsing Rods","Handheld rods believed to sometimes indicate paranormal activity by moving, crossing, or pointing."
"Electromagnetic Field","In supernatural investigation, a measurement used to document variances in electromagnetic radiation. These variances can be interpreted as possible evidence of paranormal activity when considered alongside the full investigation context."
"Electronic Audio Phenomenon","Recorded audio interpreted as an anomalous sound, signal, voice, or noise that was not observed at the time of recording."
"Electronic Voice Phenomenon","Recorded audio interpreted as voices or speech that were otherwise not observed at the time of recording."
"EMF Meter","A device used to measure electromagnetic fields or changes in electromagnetic field strength."
"EMF Spike","A sudden or notable increase in an EMF reading during an investigation that may be interpreted as possible evidence of paranormal activity."
"Energy","A commonly used term for describing or explaining a wide variety of anomalous activity."
"Environmental Contamination","An environmental condition or factor that may affect, distort, or inhibit analysis of reported or recorded activity."
"Estes Method","A technique in which a listener wearing headphones is isolated from outside visual and auditory cues and speaks words or sounds they hear from an audio-generating device such as a spirit box."
"Exorcism","A ritual or practice intended to remove, expel, or separate a spirit, entity, or other nonphysical presence from a person, place, or object."
"False Awakening","A scenario in which a person believes they have awakened, often in a familiar setting, before later realizing they were still asleep; unusual events during the experience may be interpreted as paranormal activity."
"False Positive","Evidence that appears to indicate anomalous activity but is later explained by ordinary causes."
"Footsteps","Sounds believed to be footsteps that are heard or recorded without an immediately identifiable source."
"Ghost","A common term for unexplained activity interpreted as involving a person, animal, object, place, or presence that is not ordinarily observable."
"Gravity Hill","A location where the surrounding landscape creates the visual impression that a slight downhill slope is uphill, making vehicles or objects appear to roll against gravity; these sites are sometimes associated with ghost stories or mistaken for paranormal activity."
"Haunting","A pattern of unexplained activity associated with a person, place, or object."
"Hypnagogia","A transitional state between wakefulness and sleep in which vivid sensory experiences, imagery, sounds, or feelings may occur and sometimes be interpreted as paranormal activity."
"Infrared Camera","A camera that records infrared light, used to document visual information outside normal visible-light conditions."
"Infrasound","Sound below the usual lower limit of human hearing that has been known to cause physical symptoms, including discomfort, unease, vibration, or other reported experiences."
"Instrumental Trans-Communication","The use of devices, usually electronic, to attempt communication in the context of paranormal activity."
"Intelligent Activity","Unexplained activity interpreted as showing awareness, intention, or purposeful behavior."
"Knocking","Knocks, taps, bangs, or similar impact-like sounds that are heard or recorded without an immediately identifiable source."
"Laser Grid","A projected pattern of laser points or lines, or the device that produces it, used as a visible reference for detecting movement or visual disturbances."
"Malevolent","Describes reported activity or presence perceived as harmful, threatening, hostile, or negative in intent."
"Mists","Visible haze, vapor, smoke, fog-like forms, or clouded areas witnessed in person or seen in images."
"Orbs","Circular or spherical forms, usually light-emitting and sometimes dark, seen in photographs, video, or direct observation."
"Ouija","A board or similar surface marked with letters, numbers, and other indicators, used with a planchette or pointer in attempts to receive messages or responses."
"Paranormal","A broad term for something that appears to fall outside ordinary explanation based on the information currently available."
"Parapsychology","The study of claimed psi-related experiences and abilities, such as telepathy, clairvoyance, precognition, psychokinesis, and survival-related claims."
"Pareidolia","The perception of meaningful patterns, faces, figures, words, or voices in ambiguous or random sensory information."
"Personal Experience","A firsthand account of an event directly experienced by an individual that lacks corroborating evidence."
"Phantom Smells","Odors perceived without an immediately identifiable source, commonly including smoke, perfume, or other distinctive smells."
"Poltergeist","A type of anomalous activity commonly associated with physical disturbances such as object movement, knocking or banging sounds, or other physical events."
"Possession","A state in which a person is believed or interpreted to be influenced, controlled, or inhabited by a spirit, entity, or other nonphysical presence."
"Provoking","A technique that uses confrontational, challenging, or emotionally charged statements in an attempt to elicit a response from reported activity."
"Psychography","Writing or written marks produced while a person holds a pen, pencil, marker, or other writing instrument and reports that they are not consciously moving it."
"Recurrent Activity","Unexplained activity that appears to repeat in a similar way over time without apparent awareness, intention, or purposeful behavior."
"REM Pod","A device that emits an electromagnetic field from its antenna and detects changes to that field, often producing lights or sounds when changes are detected."
"Scratches","Scratches or marks on the skin that cannot immediately be explained and may be interpreted as evidence of paranormal activity."
"Sensory Deprivation","A technique that limits sensory input, commonly sight and/or hearing, in an attempt to reduce outside awareness and increase focus on selected sensations, impressions, or perceptions."
"Shadow People","A common term for dark, shadow-like figures perceived as human-shaped or presence-like, commonly lacking clear features or seen briefly, peripherally, or under low-light conditions."
"Sleep Paralysis","A temporary state near sleep or waking in which a person is aware but unable to move, sometimes accompanied by vivid dreamlike perceptions that may be interpreted as paranormal activity."
"SLS Camera","A camera system that uses projected infrared light points and software to interpret human-shaped forms, often displaying them as stick figures."
"Spirit","A presence believed or interpreted as nonphysical and as continuing after physical life."
"Spirit Box","A device or application used to generate audio or words that may be reviewed for possible responses or anomalous content."
"Suggestibility","The tendency for expectations or context to influence perception or interpretation."
"Supernatural","A broad term for phenomena interpreted as existing beyond the known laws of nature or not fully explained by them."
"Temperature Changes","Reported or measured shifts in ambient temperature, surface temperature, or perceived heat or cold, commonly referred to as cold spots or hot spots."
"Thermal Camera","A camera that detects infrared radiation and displays or records temperature differences as an image."
"TriField Meter","A meter commonly used to detect or measure AC magnetic fields, AC electric fields, and RF or microwave signals."
"Trigger Object","An object used in an attempt to elicit or encourage paranormal activity."
"Visual Phenomena","A category of phenomena involving any visual event that is witnessed in person or documented in images or video."
"Whispers","Low-volume voice-like or speech-like sounds heard or recorded without an apparent source."
